name,mean,std,max,fractal_dimension,volume_fraction
13_100_300_group_2,2.166593817,1.565798354,6.555995941,2.684595363,0.502154
13_100_350_group_1,1.981109746,1.254694587,4.867798328,2.693476053,0.514253
13_100_350_group_2,2.343044593,1.725457058,6.835535526,2.672877413,0.508897
13_150_000_group_1,1.763456234,1.052377659,4.264748096,2.69753527,0.461632
13_150_000_group_2,1.602116449,0.86920131,3.674759865,2.711272563,0.440564
13_150_050_group_1,1.731804888,1.013859503,4.29451561,2.703073199,0.473746
13_150_050_group_2,1.920306633,1.703805575,8.568470955,2.707005065,0.460048
13_150_100_group_1,1.683699177,0.985785371,4.29451561,2.708877958,0.485488
13_150_100_group_2,1.946216685,1.501597036,6.606621742,2.699458416,0.480608
13_150_150_group_1,1.672199773,1.000161474,4.393771648,2.711173374,0.492121
13_150_150_group_2,1.92708082,1.498045363,6.606621742,2.705583282,0.484434
13_150_200_group_1,1.551968589,0.850104913,3.907402277,2.723364911,0.488084
13_150_200_group_2,2.005842188,1.874093298,9.266293526,2.706919629,0.480965
13_150_250_group_1,1.904705986,1.266865452,5.143826008,2.703335242,0.515541
13_150_250_group_2,1.907939899,1.201787242,5.719361305,2.691298162,0.504835
13_150_300_group_1,1.946124007,1.256483941,4.877853394,2.695843331,0.520245
13_150_300_group_2,2.820957023,2.573208055,9.091197968,2.67901213,0.534902
13_150_350_group_1,1.978225579,1.297687417,5.538300991,2.696830901,0.517392
13_150_350_group_2,2.668925164,1.933635121,6.84413147,2.646502253,0.547134
13_200_000_group_1,1.756643765,0.997663241,3.959718704,2.700637067,0.481163
13_200_000_group_2,1.583969468,0.837149983,3.552731037,2.712899816,0.454235
13_200_050_group_1,1.713224262,0.942379194,3.959718704,2.704795217,0.492162
13_200_050_group_2,1.573644471,0.830897029,3.377387285,2.714089357,0.460607
13_200_100_group_2,1.629974532,0.863389427,3.569242477,2.708146422,0.474471
13_200_150_group_1,1.632395676,0.929875612,4.01135397,2.717145725,0.500503
13_200_150_group_2,1.622705257,0.876709054,3.508320332,2.711057257,0.47523
13_200_200_group_1,1.55146652,0.844387323,3.874661207,2.724981158,0.495125
13_200_200_group_2,1.652288592,0.904149858,3.533369541,2.710817214,0.474617
13_200_250_group_1,1.80566686,1.180958077,5.143826008,2.709199312,0.509498
13_200_250_group_2,1.876554507,1.196634408,6.39865303,2.694748214,0.503712
13_200_300_group_2,2.879342456,2.311595347,7.871030807,2.66796221,0.552592
13_200_350_group_1,1.921896173,1.307339883,5.580605507,2.701116808,0.511361
13_200_350_group_2,2.750522227,1.925733968,6.175765038,2.631263132,0.574228
13_250_000_group_1,1.725855931,0.982074594,3.912414789,2.70705034,0.479548
13_250_000_group_2,1.592201491,0.83202709,3.552731037,2.716105283,0.462597
13_250_050_group_1,1.677766291,0.929433225,3.751298428,2.710502099,0.490441
13_250_050_group_2,1.910230445,1.582999633,7.442270279,2.717033441,0.48022
13_250_100_group_2,2.119684612,1.792341069,6.926679611,2.69914725,0.496927
13_250_150_group_1,1.670131262,0.971887684,4.129324436,2.720627567,0.502634
13_250_150_group_2,2.038662786,1.534066194,6.150324345,2.696095294,0.499592
13_250_200_group_1,1.64825483,0.92926959,4.129324436,2.71948857,0.508472
13_250_200_group_2,2.095442024,1.533152723,6.262430191,2.687566493,0.507397
13_250_250_group_1,1.750092521,1.008024621,4.129324436,2.713224163,0.516216
13_250_250_group_2,1.924136191,1.161610002,5.230728149,2.692394347,0.517191
13_250_300_group_1,1.78995355,1.033195648,4.129324436,2.708974606,0.515969
13_250_300_group_2,3.346354558,2.977995359,8.965288162,2.665879935,0.567676
13_250_350_group_1,1.815220379,1.134094068,5.580605507,2.707079272,0.509832
13_250_350_group_2,2.751016899,1.864037003,6.103942394,2.6270682,0.584358
13_300_000_group_1,1.649552221,0.92263158,3.748684883,2.709021901,0.463849
13_300_000_group_2,1.549893648,0.841565929,3.59386754,2.720270817,0.445715
13_300_050_group_1,1.64805397,0.914817137,3.769540071,2.710778695,0.479217
13_300_050_group_2,2.106183535,1.840736862,7.277162075,2.703099394,0.483473
13_300_100_group_1,1.636855002,0.89729035,3.751298428,2.715390048,0.490451
13_300_100_group_2,2.402020619,2.07211277,6.884105682,2.683911837,0.508139
13_300_150_group_1,1.856125391,1.269141485,5.554203033,2.709549538,0.509579
13_300_150_group_2,2.588526555,2.140389939,6.889796734,2.670859397,0.526405
13_300_200_group_1,1.904546244,1.342034539,5.66426754,2.710415817,0.520683
13_300_200_group_2,2.661370355,2.103709248,6.901166916,2.666038779,0.540283
13_300_250_group_1,1.947502497,1.352767336,5.66426754,2.705769063,0.522308
13_300_250_group_2,2.280336574,1.61066373,6.312305927,2.675733007,0.533161
13_300_300_group_1,1.99034781,1.354109627,5.726210594,2.698441387,0.528382
13_300_300_group_2,2.694486311,1.971497565,6.812558651,2.66096963,0.560461
13_300_350_group_1,1.819671387,1.096458542,5.580605507,2.706110907,0.509181
13_300_350_group_2,2.626699734,1.902944584,6.675973415,2.645115508,0.565769
13_350_000_group_1,1.712641644,0.994150461,3.772139072,2.708279464,0.465602
13_350_000_group_2,1.62408079,0.93949794,3.664077759,2.713229228,0.444115
13_350_050_group_1,1.706253512,0.985219104,3.919921637,2.711614434,0.475948
13_350_050_group_2,2.146595474,1.866431102,7.277162075,2.700796592,0.474857
13_350_100_group_1,1.679158075,0.956364218,3.751298428,2.71200982,0.479275
13_350_100_group_2,2.414568335,2.094069952,6.90968132,2.681073132,0.493617
13_350_150_group_1,1.785070286,1.258438294,5.54537344,2.713959484,0.479406
13_350_150_group_2,2.876381461,2.36540644,6.916769505,2.663388066,0.526096
13_350_200_group_1,1.89772632,1.366179993,5.700482845,2.705677379,0.493461
13_350_250_group_1,1.929650639,1.373046982,5.698762894,2.70406607,0.499912
13_350_250_group_2,2.591028615,1.873603895,6.320064545,2.659590081,0.541257
13_350_300_group_1,1.996246414,1.36876337,5.726210594,2.697159476,0.513051
13_350_300_group_2,3.018087392,2.489314545,8.969658852,2.662204062,0.549427
13_350_350_group_1,1.857958984,1.069539035,5.674637318,2.703121175,0.508672
13_350_350_group_2,2.364529565,1.628270079,6.557490349,2.663074412,0.534503
13_400_000_group_1,1.813573763,1.054365136,3.97207427,2.700077185,0.463472
13_400_000_group_2,1.707593141,0.951968312,3.677425623,2.70963822,0.449091
13_400_050_group_1,1.812456412,1.065005218,4.278512478,2.70253825,0.471432
13_400_050_group_2,2.177874852,1.798823489,7.277162075,2.695755907,0.476763
13_400_100_group_1,1.757691423,1.014426769,4.195247173,2.703627824,0.468767
13_400_100_group_2,2.407178658,2.029186708,6.90968132,2.68349622,0.488476
13_400_150_group_1,1.844820399,1.312217427,5.578849792,2.706662109,0.462247
13_400_150_group_2,2.982163087,2.367346369,6.884105682,2.649316427,0.523144
13_400_200_group_1,2.008630142,1.442521433,5.702201843,2.695207367,0.475502
13_400_200_group_2,3.18433413,2.33427586,6.935163021,2.630346081,0.54075
13_400_250_group_1,1.981837124,1.408286143,5.700482845,2.69799777,0.480958
13_400_250_group_2,2.78266441,2.04874806,6.313858509,2.653336573,0.526964
13_400_300_group_1,2.019763381,1.386834478,5.726210594,2.696836258,0.495973
13_400_300_group_2,2.657409706,1.888121104,6.323164463,2.657686448,0.526518
13_400_350_group_1,1.83162938,0.974684408,3.991762161,2.703523225,0.493885
13_400_350_group_2,2.089599043,1.251815926,5.247561932,2.683531856,0.496532
14_000_000_group_1,2.10344866,0.836923346,3.639927149,2.673813683,0.603575
14_000_000_group_2,2.141588848,0.922476016,3.831424475,2.673202911,0.596892
14_000_050_group_1,2.090385054,0.904074827,4.342170715,2.682679791,0.587337
14_000_050_group_2,2.114960333,0.968748822,4.342170715,2.682637183,0.585752
14_000_100_group_1,2.106096738,0.95949636,4.342170715,2.682272125,0.587125
14_000_100_group_2,2.085084905,0.973746107,4.342170715,2.683819244,0.590007
14_000_150_group_1,2.197163368,1.025442538,4.355690956,2.667768389,0.596003
14_000_150_group_2,2.198837791,1.01220515,4.342170715,2.667520405,0.606845
14_000_200_group_1,2.353372015,1.065037328,4.31273222,2.651893794,0.622305
14_000_200_group_2,2.219139092,0.963416304,4.145903111,2.661009697,0.635403
14_000_250_group_1,2.509935699,1.134528079,5.461685181,2.634145223,0.647302
14_000_300_group_1,2.522227714,1.119358996,4.79477644,2.634732859,0.652152
14_000_350_group_2,2.377761998,1.02503325,4.420454502,2.646275967,0.659958
14_000_400_group_1,2.359242069,1.040396565,4.813135147,2.647799769,0.634588
14_000_400_group_2,2.397376421,1.082763262,4.433736324,2.648021869,0.636952
14_050_000_group_1,2.095260243,0.826282758,4.136437893,2.674231195,0.617963
14_050_000_group_2,2.181447869,0.927793781,4.155347347,2.66818586,0.615715
14_050_050_group_1,2.061759311,0.836283716,3.769540071,2.682198641,0.603872
14_050_050_group_2,2.11208004,0.900281403,4.040563583,2.674034819,0.607402
14_050_100_group_1,2.046104669,0.875713346,4.162416458,2.683340997,0.598083
14_050_100_group_2,2.07909648,0.898485111,3.892324924,2.676595157,0.60939
14_050_150_group_1,2.152261586,0.952706176,4.071969986,2.671492314,0.600813
14_050_150_group_2,2.148327918,0.92644316,3.872131348,2.670554256,0.6156
14_050_200_group_1,2.486701519,1.179735512,5.50279808,2.64317833,0.638648
14_050_200_group_2,2.276034643,0.983223534,4.449180603,2.653720984,0.648378
14_050_250_group_1,2.619192875,1.182876513,5.461685181,2.620497521,0.671347
14_050_300_group_1,2.616189549,1.161640297,5.143826008,2.618706122,0.680947
14_050_300_group_2,2.390241712,1.037755002,4.402683735,2.639617719,0.668149
14_050_350_group_1,2.61604208,1.218033849,5.463479042,2.61684219,0.695346
14_050_350_group_2,2.461888997,1.073376558,4.619907379,2.626095603,0.685772
